Code,Jurisdiction,before,after,percent
National,National,282,274,-2.84
AL,Alabama,269,264,-1.86
AK,Alaska,274,270,-1.46
AZ,Arizona,280,271,-3.21
AR,Arkansas,274,267,-2.55
CA,California,276,270,-2.17
CO,Colorado,285,275,-3.51
CT,Connecticut,286,276,-3.50
DE,Delaware,277,264,-4.69
DC,District of Columbia,269,260,-3.35
FL,Florida,279,271,-2.87
GA,Georgia,279,271,-2.87
HI,Hawaii,275,270,-1.82
ID,Idaho,286,282,-1.40
IL,Illinois,283,275,-2.83
IN,Indiana,286,279,-2.45
IA,Iowa,282,277,-1.77
KS,Kansas,282,272,-3.55
KY,Kentucky,278,269,-3.24
LA,Louisiana,272,266,-2.21
ME,Maine,282,273,-3.19
MD,Maryland,280,269,-3.93
MA,Massachusetts,294,284,-3.40
MI,Michigan,280,273,-2.50
MN,Minnesota,291,280,-3.78
MS,Mississippi,274,266,-2.92
MO,Missouri,281,272,-3.20
MT,Montana,284,277,-2.46
NE,Nebraska,285,279,-2.11
NV,Nevada,274,269,-1.82
NH,New Hampshire,287,279,-2.79
NJ,New Jersey,292,281,-3.77
NM,New Mexico,269,259,-3.72
NY,New York,280,274,-2.14
NC,North Carolina,284,274,-3.52
ND,North Dakota,286,278,-2.80
OH,Ohio,286,276,-3.50
OK,Oklahoma,276,264,-4.35
OR,Oregon,280,270,-3.57
PA,Pennsylvania,285,274,-3.86
PR,Puerto Rico,222,216,-2.70
RI,Rhode Island,276,270,-2.17
SC,South Carolina,276,269,-2.54
SD,South Dakota,287,281,-2.09
TN,Tennessee,280,272,-2.86
TX,Texas,280,273,-2.50
UT,Utah,285,282,-1.05
VT,Vermont,287,276,-3.83
VA,Virginia,287,279,-2.79
WA,Washington,286,276,-3.50
WV,West Virginia,272,260,-4.41
WI,Wisconsin,289,281,-2.77
WY,Wyoming,286,281,-1.75
